document_id sentence_id mention_id mention POS_mention is_proper_name is_pronoun is_singleton is_first_person Next_Words Prev_Words
1 1 1 "समाजवादी पार्टी" "NNPC NNP" 1 0 0 "के अध्यक्ष" " "
1 1 2 अध्यक्ष NN 0 0 0 "और उत्तर" "पार्टी के"
1 1 3 "उत्तर प्रदेश" "NNPC NNP" 1 0 0 "के मुख्यमंत्री" "अध्यक्ष और"
1 1 4 मुख्यमंत्री NNP 1 0 0 "मुलायम सिंह" "प्रदेश के"
1 1 5 "मुलायम सिंह यादव" "NNPC NNPC NNP" 1 0 0 "ने शुक्रवार" "के मुख्यमंत्री"
1 1 6 शुक्रवार NNP 1 0 0 "को एक" "यादव ने"
1 1 7 "एक बार" "QC NN" 0 0 1 "फिर तीसरा" "शुक्रवार को"
1 1 8 "तीसरा मोर्चा" "NNPC NNP" 1 0 0 "बनाने की" "बार फिर"
1 1 9 अपील NN 0 0 1 की "बनाने की"
1 2 10 कांग्रेस NNP 1 0 0 "और भाजपा" " "
1 2 11 भाजपा NNP 1 0 0 "को आड़े" "कांग्रेस और"
1 2 12 "आड़े हाथों" "JJ NN" 0 0 1 "लेते हुए" "भाजपा को"
1 2 13 उन्होंने PRP 0 1 0 "कहा कि" "लेते हुए"
1 2 14 इन DEM 0 0 0 "दोनों पार्टियों" "कहा कि"
1 2 15 "दोनों पार्टियों" "QC NN" 0 0 0 "ने लोगों" "कि इन"
1 2 16 लोगों NN 0 0 0 "का विश्वास" "पार्टियों ने"
1 2 17 विश्वास NN 0 0 1 "खो दिया" "लोगों का"
1 3 18 इसके PRP 0 1 0 "साथ ही" " "
1 3 19 उन्होंने PRP 0 1 0 "कहा कि" "साथ ही"
1 3 20 "उत्तर प्रदेश सरकार" "NNPC NNP NN" 1 0 0 "प्रस्तावित ३७४०" "कहा कि"
1 3 21 "प्रस्तावित ३७४० मेगावाट" "JJ QC NN" 0 0 1 "की गैस" "प्रदेश सरकार"
1 3 22 "गैस आधारित बिजली परियोजना" "NN JJ NNC NN" 0 0 0 "पर रिलायंस" "मेगावाट की"
1 3 23 रिलायंस NNP 1 0 0 "के वाइस" "परियोजना पर"
1 3 24 "वाइस चेयरमैन" "NNC NN" 0 0 0 "अनिल अंबानी" "रिलायंस के"
1 3 25 "अनिल अंबानी" "NNPC NNP" 1 0 0 "से बात" "वाइस चेयरमैन"
1 3 26 बात NN 0 0 1 "करेगी जिससे" "अंबानी से"
1 3 27 जिससे PRP 0 1 0 "कि राज्य" "बात करेगी"
1 3 28 राज्य NN 0 0 0 "में अगले" "जिससे कि"
1 3 29 "अगले डेढ़ साल" "JJ QC NN" 0 0 1 "में बिजली" "राज्य में"
1 3 30 बिजली NN 0 0 0 "परियोजना पर" "गैस आधारित"
1 3 31 समस्या NN 0 0 1 "खत्म हो" "बिजली की"
1 3 32 वह PRP 0 1 0 "दूसरों को" "जाए और"
1 3 33 दूसरों NN 0 0 1 "को बिजली" "और वह"
1 3 34 बिजली NN 0 0 0 "परियोजना पर" "गैस आधारित"
1 3 35 स्थिति NN 0 0 1 "में पहुंच" "देने की"
1 4 36 यादव NNP 1 0 0 "ने शुक्रवार" " "
1 4 37 शुक्रवार NNP 1 0 0 "को यहां" "यादव ने"
1 4 38 यहां PRP 0 1 0 "पार्टी सम्मेलन" "शुक्रवार को"
1 4 39 "पार्टी सम्मेलन" "NNC NN" 0 0 0 "में कहा" "को यहां"
1 4 40 "तीसरा मोर्चा" "NNPC NNP" 1 0 0 "कांग्रेस और" "कहा कि"
1 4 41 कांग्रेस NNP 1 0 0 "और भाजपा" "तीसरा मोर्चा"
1 4 42 भाजपा NNP 1 0 0 "से समान" "कांग्रेस और"
1 4 43 "समान दूरी" "JJ NN" 0 0 1 "बनाए रखेगा" "भाजपा से"
1 5 44 उन्होंने PRP 0 1 0 "कहा कि" " "
1 5 45 सपा NNP 1 0 0 "भाजपा के" "कहा कि"
1 5 46 भाजपा NNP 1 0 0 "के खिलाफ" "कि सपा"
1 5 47 लड़ाई NN 0 0 0 "लड़ रही" "के खिलाफ"
1 5 48 इसी PRP 0 1 0 "का नतीजा" "है और"
1 5 49 नतीजा NN 0 0 1 "है कि" "इसी का"
1 5 50 "उत्तर प्रदेश" "NNPC NNP" 1 0 0 "में भगवा" "है कि"
1 5 51 "भगवा पार्टी" "JJ NN" 0 0 1 "के कई" "प्रदेश में"
1 5 52 "कई दिग्गज नेताओं" "QF JJ NN" 0 0 1 "को हार" "पार्टी के"
1 5 53 हार NN 0 0 1 "का सामना" "नेताओं को"
1 5 54 सामना NN 0 0 1 "करना पड़ा" "हार का"
1 6 55 इसी PRP 0 1 0 "के चलते" " "
1 6 56 राज्य NN 0 0 0 "में भाजपा" "के चलते"
