document_id sentence_id mention_id mention POS_mention next_words previous_words is_proper_name is_pronoun is_first_person is_singleton
1 1 1 "समाजवादी पार्टी" "NNPC NNP" "के अध्यक्ष और उत्तर" " " 1 0 0 0
1 1 2 अध्यक्ष NN "और उत्तर प्रदेश के" "समाजवादी पार्टी के" 0 0 0 0
1 1 3 "उत्तर प्रदेश" "NNPC NNP" "के मुख्यमंत्री मुलायम सिंह" "पार्टी के अध्यक्ष और" 1 0 0 0
1 1 4 मुख्यमंत्री NNP "मुलायम सिंह यादव ने" "और उत्तर प्रदेश के" 1 0 0 0
1 1 5 "मुलायम सिंह यादव" "NNPC NNPC NNP" "ने शुक्रवार को एक" "उत्तर प्रदेश के मुख्यमंत्री" 1 0 0 0
1 1 6 शुक्रवार NNP "को एक बार फिर" "मुलायम सिंह यादव ने" 1 0 0 0
1 1 7 "एक बार" "QC NN" "फिर तीसरा मोर्चा बनाने" "यादव ने शुक्रवार को" 0 0 0 1
1 1 8 "तीसरा मोर्चा" "NNPC NNP" "बनाने की अपील की" "को एक बार फिर" 1 0 0 0
1 1 9 अपील NN की "तीसरा मोर्चा बनाने की" 0 0 0 1
1 2 10 कांग्रेस NNP "और भाजपा को आड़े" " " 1 0 0 0
1 2 11 भाजपा NNP "को आड़े हाथों लेते" "कांग्रेस और" 1 0 0 0
1 2 12 "आड़े हाथों" "JJ NN" "लेते हुए उन्होंने कहा" "कांग्रेस और भाजपा को" 0 0 0 1
1 2 13 उन्होंने PRP "कहा कि इन दोनों" "आड़े हाथों लेते हुए" 0 1 0 0
1 2 14 इन DEM "दोनों पार्टियों ने लोगों" "हुए उन्होंने कहा कि" 0 0 0 0
1 2 15 "दोनों पार्टियों" "QC NN" "ने लोगों का विश्वास" "उन्होंने कहा कि इन" 0 0 0 0
1 2 16 लोगों NN "का विश्वास खो दिया" "इन दोनों पार्टियों ने" 0 0 0 0
1 2 17 विश्वास NN "खो दिया है ।" "पार्टियों ने लोगों का" 0 0 0 1
1 3 18 इसके PRP "साथ ही उन्होंने कहा" " " 0 1 0 0
1 3 19 उन्होंने PRP "कहा कि उत्तर प्रदेश" "इसके साथ ही" 0 1 0 0
1 3 20 "उत्तर प्रदेश सरकार" "NNPC NNP NN" "प्रस्तावित ३७४० मेगावाट की" "ही उन्होंने कहा कि" 1 0 0 0
1 3 21 "प्रस्तावित ३७४० मेगावाट" "JJ QC NN" "की गैस आधारित बिजली" "कि उत्तर प्रदेश सरकार" 0 0 0 1
